R1SZFUL,R1SZELETSZ,R1SZKSORSZ
H8586,3308285867,9
H8587,3308285874,5
H8588,3308285881,5
H8589,3308285898,7
H8592,3308285920,5
H8595,3308285951,4
H8598,3308285982,14
H8615,3308286156,14
H8621,3308286219,22
H8623,3308286233,18
H8624,3308286240,7
H8626,3308286264,7
H8629,3308286295,14
H8632,3308286327,3
H8634,3308286341,13
H8635,3308286358,7
H8636,3308286365,0
H8641,3308286411,9
H8645,3308286459,13
H8653,3308286536,0
H8663,3308286637,8
H8665,3308286651,13
H8672,3308286721,14
H8684,3308286846,6
H8688,3308286884,26
H8694,3308286947,10
H8697,3308286978,7
H8710,3308287104,6
H8718,3308287180,13
H8722,3308287229,8
H8729,3308287298,4
H8730,3308287306,15
H8732,3308287320,15
H8735,3308287351,3
H8740,3308287407,7
H8741,3308287414,3
H8742,3308287421,7
H8749,3308287490,9
H8751,3308287515,1
H8752,3308287522,19
H8753,3308287539,28
H8757,3308287577,7
H8760,3308287609,1
H8763,3308287630,19
H8764,3308287647,0
H8766,3308287661,27
H8770,3308287700,22
H8771,3308287717,8
H8774,3308287748,25
H8778,3308287786,14
H8783,3308287832,32
H8784,3308287849,5
H8786,3308287863,7
H8792,3308287926,3
H8793,3308287933,4
H8794,3308287940,10
H8798,3308287988,5
H8800,3308288006,14
H8801,3308288013,17
H8805,3308288051,3
H8807,3308288075,7
H8810,3308288107,11
H8813,3308288138,4
H8822,3308288222,4
H8824,3308288246,17
H8830,3308288309,10
H8832,3308288323,5
H8836,3308288361,1
H8838,3308288385,7
H8839,3308288392,39
H8840,3308288400,3
H8846,3308288462,15
H8852,3308288525,7
H8853,3308288532,12
H8856,3308288563,9
H8858,3308288587,9
H8859,3308288594,17
H8870,3308288703,24
H8872,3308288727,4
H8877,3308288772,8
H8881,3308288811,7
H8882,3308288828,7
H8883,3308288835,1
H8885,3308288859,10
H8886,3308288866,7
H8890,3308288905,12
H8892,3308288929,14
H8894,3308288943,12
H8896,3308288967,7
H8898,3308288981,15
H8899,3308288998,8
H9400,3308294003,8
H9404,3308294041,23
H9405,3308294058,13
H9406,3308294065,3
H9408,3308294089,19
H9411,3308294111,2
H9413,3308294135,8
H9414,3308294142,6
H9416,3308294166,17
H9418,3308294180,21
H9421,3308294212,5
H9422,3308294229,5
H9424,3308294243,9
H9425,3308294250,0
H9426,3308294267,2
H9427,3308294274,17
H9428,3308294281,3
H9429,3308294298,11
H9430,3308294306,4
H9431,3308294313,18
H9436,3308294368,7
H9439,3308294399,14
H9440,3308294407,15
H9442,3308294421,11
H9443,3308294438,15
H9445,3308294452,15
H9447,3308294476,0
H9450,3308294508,9
H9451,3308294515,10
H9454,3308294546,3
H9455,3308294553,7
H9460,3308294609,10
H9461,3308294616,16
H9463,3308294630,20
H9465,3308294654,12
H9466,3308294661,8
H9470,3308294700,6
H9471,3308294717,1
H9472,3308294724,7
H9473,3308294731,11
H9475,3308294755,10
H9481,3308294818,10
H9483,3308294832,2
H9484,3308294849,15
H9491,3308294919,3
H9496,3308294964,26
H9498,3308294988,8
H9500,3308295006,9
H9501,3308295013,4
H9505,3308295051,7
H9509,3308295099,9
H9510,3308295107,13
H9515,3308295152,8
H9516,3308295169,13
H9517,3308295176,20
H9518,3308295183,2
H9519,3308295190,5
H9521,3308295215,8
H9522,3308295222,18
H9523,3308295239,8
