R1SZFUL,R1SZELETSZ,R1SZKSORSZ
J2254,3408422540,9
J2255,3408422557,8
J2256,3408422564,3
J2257,3408422571,6
J2259,3408422595,7
J2260,3408422603,8
J2262,3408422627,3
J2264,3408422641,7
J2265,3408422658,0
J2266,3408422665,8
J2267,3408422672,8
J2268,3408422689,3
J2269,3408422696,10
J2270,3408422704,5
J2271,3408422711,4
J2273,3408422735,1
J2276,3408422766,13
J2279,3408422797,7
J2280,3408422805,2
J2281,3408422812,4
J2283,3408422836,6
J2284,3408422843,9
J2286,3408422867,1
J2287,3408422874,6
J2288,3408422881,11
J2290,3408422906,3
J2291,3408422913,4
J2292,3408422920,4
J2293,3408422937,9
J2294,3408422944,3
J2296,3408422968,5
J2297,3408422975,8
J2299,3408422999,6
J2302,3408423024,6
J2303,3408423031,1
J2305,3408423055,12
J2306,3408423062,4
J2307,3408423079,7
J2308,3408423086,6
J2309,3408423093,6
J2310,3408423101,7
J2311,3408423118,5
J2312,3408423125,6
J2313,3408423132,5
J2314,3408423149,6
J2316,3408423163,9
J2318,3408423187,2
J2319,3408423194,2
J2321,3408423219,6
J2322,3408423226,3
J2323,3408423233,7
J2324,3408423240,8
J2326,3408423264,3
J2327,3408423271,0
J2328,3408423288,7
J2329,3408423295,2
J2332,3408423327,6
J2333,3408423334,3
J2334,3408423341,6
J2335,3408423358,3
J2336,3408423365,9
J2337,3408423372,3
J2338,3408423389,6
J2343,3408423435,7
J2345,3408423459,8
J2346,3408423466,5
J2347,3408423473,6
J2350,3408423505,6
J2351,3408423512,7
J2353,3408423536,1
J2355,3408423550,6
J2357,3408423574,1
J2358,3408423581,8
J2359,3408423598,5
J2360,3408423606,5
J2361,3408423613,5
J2362,3408423620,2
J2366,3408423668,2
J2370,3408423707,6
J2371,3408423714,1
J2374,3408423745,3
J2376,3408423769,3
J2377,3408423776,6
J2379,3408423790,4
J2380,3408423808,5
J2381,3408423815,2
J2382,3408423822,5
J2383,3408423839,2
J2386,3408423860,8
J2387,3408423877,3
J2388,3408423884,2
J2389,3408423891,5
J2390,3408423909,6
J2391,3408423916,5
J2392,3408423923,7
J2397,3408423978,7
J2399,3408423992,3
J2400,3408424003,7
J2401,3408424010,4
J2404,3408424041,4
J2406,3408424065,6
J2407,3408424072,5
J2408,3408424089,3
J2409,3408424096,6
J2412,3408424128,7
J2413,3408424135,3
J2414,3408424142,7
J2417,3408424173,7
J2419,3408424197,6
J2420,3408424205,2
J2422,3408424229,1
J2423,3408424236,5
J2424,3408424243,2
J2426,3408424267,6
J2427,3408424274,8
J2428,3408424281,6
J2430,3408424306,1
J2432,3408424320,3
J2433,3408424337,6
J2436,3408424368,3
J2437,3408424375,0
J2438,3408424382,7
J2439,3408424399,5
J2440,3408424407,7
J2441,3408424414,1
J2443,3408424438,5
J2444,3408424445,6
J2445,3408424452,7
J2446,3408424469,5
J2447,3408424476,9
J2448,3408424483,3
J2450,3408424508,6
J2451,3408424515,3
J2452,3408424522,3
J2453,3408424539,2
J2457,3408424577,0
J2460,3408424609,6
J2461,3408424616,6
J2462,3408424623,4
J2463,3408424630,3
J2464,3408424647,6
J2465,3408424654,6
J2466,3408424661,4
J2468,3408424685,3
J2470,3408424700,1
J2476,3408424762,0
J2477,3408424779,3
J2479,3408424793,3
J2480,3408424801,3
J2482,3408424825,3
J2484,3408424849,7
J2485,3408424856,0
J2486,3408424863,3
J2487,3408424870,2
J2489,3408424894,4
J2492,3408424926,3
J2495,3408424957,2
J2497,3408424971,0
J2498,3408424988,5
J2900,3408429008,3
J2902,3408429022,5
J2903,3408429039,3
J2904,3408429046,0
J2905,3408429053,7
J2906,3408429060,4
J2909,3408429091,3
J2910,3408429109,1
J2911,3408429116,2
J2912,3408429123,1
J2913,3408429130,0
J2915,3408429154,6
J2916,3408429161,2
J2917,3408429178,4
J2922,3408429224,3
J2923,3408429231,0
J2924,3408429248,3
J2930,3408429301,2
J2933,3408429332,4
J2940,3408429402,3
J2941,3408429419,3
J2944,3408429440,3
J2945,3408429457,2
J2949,3408429495,1
J2950,3408429503,0
J2951,3408429510,2
J2952,3408429527,0
J2954,3408429541,0
J2958,3408429589,1
J2959,3408429596,2
J2960,3408429604,2
J2965,3408429659,3
J2967,3408429673,2
J2971,3408429712,2
J2982,3408429820,0
J2986,3408429868,2
J2987,3408429875,4
J2988,3408429882,4
J2989,3408429899,5
J2991,3408429914,0
J2993,3408429938,5
J2996,3408429969,2
J2997,3408429976,2
J3009,3408430093,3
J3015,3408430156,1
J3019,3408430194,1
J3020,3408430202,2
J3026,3408430264,2
J3028,3408430288,2
J3030,3408430303,2
J3034,3408430341,1
J3043,3408430435,1
J3048,3408430480,1
J3050,3408430505,1
J3051,3408430512,0
J3055,3408430550,1
J3058,3408430581,2
J3061,3408430613,3
J3062,3408430620,2
J3069,3408430699,1
J3071,3408430714,2
J3077,3408430776,2
J3083,3408430839,2
J3085,3408430853,2
J3087,3408430877,0
J3088,3408430884,2
J3094,3408430947,1
J3104,3408431041,0
J3106,3408431065,0
J3108,3408431089,1
J3111,3408431111,1
J3123,3408431236,0
J3124,3408431243,2
J3128,3408431281,2
J3137,3408431375,0
J3148,3408431483,0
J3158,3408431584,0
J3162,3408431623,0
J3210,3408432107,0
K0541,3243905413,18
K0611,3243906113,20
K0613,3243906137,10
K0650,3243906500,15
K0663,3243906632,18
K0688,3243906889,8
K0695,3243906959,21
K0696,3243906966,1
K0742,3243907426,6
K0743,3243907433,6
K0763,3243907635,1
K0794,3243907945,13
K0822,3243908227,11
K0846,3243908467,2
K0985,3243909857,18
K1010,3243910107,12
K1026,3243910260,10
K1048,3243910486,3
K1054,3243910549,2
K1082,3243910828,8
K1092,3243910929,12
K1093,3243910936,1
K1095,3243910950,9
K1100,3243911009,0
K1101,3243911016,11
K1126,3243911263,15
K1131,3243911319,13
K1157,3243911573,9
K1167,3243911674,8
K1169,3243911698,0
K1170,3243911706,1
K1173,3243911737,0
K1190,3243911908,9
K1192,3243911922,3
K1204,3243912040,10
K1215,3243912158,10
K1217,3243912172,11
K1225,3243912259,3
K1229,3243912297,1
K1232,3243912329,5
K1233,3243912336,1
K1237,3243912374,23
K1246,3243912468,0
K1249,3243912499,13
K1251,3243912514,18
K1253,3243912538,9
K1257,3243912576,8
K1258,3243912583,12
K1261,3243912615,15
K1263,3243912639,9
K1264,3243912646,1
K1269,3243912691,2
K1272,3243912723,2
K1273,3243912730,2
K1285,3243912855,10
K1286,3243912862,12
K1287,3243912879,11
K1292,3243912925,1
K1297,3243912970,12
K1299,3243912994,14
K1310,3243913106,10
K1312,3243913120,8
K1324,3243913245,0
K1330,3243913308,1
K1340,3243913409,1
K1380,3243913803,1
K1391,3243913911,6
K1405,3243914053,2
K1407,3243914077,1
K1416,3243914161,12
K1418,3243914185,11
K1422,3243914224,3
K1429,3243914293,9
K1435,3243914356,13
K1436,3243914363,14
K1440,3243914402,16
K1445,3243914457,8
K1449,3243914495,7
K1450,3243914503,11
K1457,3243914572,0
K1469,3243914697,0
K1476,3243914767,7
K1477,3243914774,5
K1482,3243914820,10
K1484,3243914844,1
K1489,3243914899,9
K1507,3243915070,8
K1516,3243915164,10
K1519,3243915195,10
K1520,3243915203,12
K1522,3243915227,12
K1523,3243915234,17
K1541,3243915412,10
K1542,3243915429,13
K1547,3243915474,14
K1551,3243915513,7
K1559,3243915599,15
K1560,3243915607,10
K1569,3243915690,23
K1572,3243915722,8
K1585,3243915854,13
K1601,3243916011,11
K1603,3243916035,7
K1616,3243916167,6
K1626,3243916268,10
K1647,3243916477,5
K1658,3243916585,5
K1688,3243916888,6
K1693,3243916934,8
K1727,3243917278,9
K1730,3243917300,12
K1733,3243917331,5
K1743,3243917432,9
K1760,3243917603,6
K1778,3243917780,11
K1779,3243917797,5
K1800,3243918000,11
K1804,3243918048,7
K1807,3243918079,13
K1817,3243918170,4
K1836,3243918365,8
K1840,3243918404,5
K1864,3243918644,9
K1874,3243918745,9
K1884,3243918846,7
K1891,3243918916,11
K1905,3243919058,5
K1923,3243919236,16
K1924,3243919243,5
K1931,3243919313,7
K1935,3243919351,11
K1943,3243919438,5
K1950,3243919508,7
K2007,3243920074,8
K2035,3243920353,13
K2047,3243920478,6
K2057,3243920579,6
K8035,3242480351,7
J1766,3408417661,17
J2046,3408420467,27
J2051,3408420513,26
J2157,3408421578,20
J2184,3408421840,12
J2235,3408422355,26
J2274,3408422742,22
J2304,3408423048,6
J2317,3408423170,15
J2331,3408423310,16
J2339,3408423396,13
J2342,3408423428,23
J2349,3408423497,6
J2368,3408423682,12
J2369,3408423699,9
J2415,3408424159,12
J2416,3408424166,13
J2434,3408424344,8
J2442,3408424421,9
J2455,3408424553,16
J2456,3408424560,5
J2469,3408424692,13
J2472,3408424724,8
J2483,3408424832,12
J2488,3408424887,14
J2493,3408424933,7
J2500,3408425006,6
J2914,3408429147,8
J2919,3408429192,9
J2928,3408429286,6
J2929,3408429293,10
J2935,3408429356,7
J2936,3408429363,8
J2942,3408429426,6
J2943,3408429433,8
J2947,3408429471,7
J2955,3408429558,6
J2969,3408429697,7
J2972,3408429729,8
J2973,3408429736,7
J2984,3408429844,5
J2992,3408429921,15
J2995,3408429952,12
J2999,3408429990,5
J3000,3408430000,7
J3001,3408430017,9
J3002,3408430024,9
J3011,3408430118,8
J3012,3408430125,13
J3013,3408430132,5
J3014,3408430149,9
J3017,3408430170,3
J3027,3408430271,6
J3029,3408430295,5
J3035,3408430358,9
J3036,3408430365,3
J3037,3408430372,8
J3039,3408430396,15
J3045,3408430459,4
J3047,3408430473,5
J3053,3408430536,3
J3056,3408430567,16
J3057,3408430574,10
J3063,3408430637,5
J3064,3408430644,6
J3065,3408430651,6
J3066,3408430668,6
J3070,3408430707,8
J3078,3408430783,6
J3080,3408430808,19
J3086,3408430860,5
J3089,3408430891,4
J3090,3408430909,6
J3093,3408430930,5
J3099,3408430992,5
J3103,3408431034,5
J3107,3408431072,13
J3112,3408431128,7
J3114,3408431142,9
J3115,3408431159,2
J3117,3408431173,10
J3119,3408431197,15
J3122,3408431229,8
J3127,3408431274,7
J3129,3408431298,11
J3130,3408431306,10
J3131,3408431313,7
J3132,3408431320,3
J3134,3408431344,7
J3138,3408431382,8
J3142,3408431421,4
J3144,3408431445,9
J3146,3408431469,6
J3149,3408431490,5
J3150,3408431508,2
J3151,3408431515,6
J3153,3408431539,6
J3154,3408431546,3
J3155,3408431553,2
J3156,3408431560,3
J3157,3408431577,2
J3159,3408431591,9
J3160,3408431609,2
J3161,3408431616,4
J3165,3408431654,4
J3181,3408431818,10
J3183,3408431832,4
J3185,3408431856,3
J3186,3408431863,5
J3188,3408431887,12
J3189,3408431894,4
J3190,3408431902,5
J3191,3408431919,4
J3193,3408431933,3
J3195,3408431957,4
J3196,3408431964,2
J3198,3408431988,10
J3199,3408431995,7
J3200,3408432006,4
J3201,3408432013,8
J3202,3408432020,7
J3204,3408432044,3
J3206,3408432068,9
J3207,3408432075,3
J3208,3408432082,8
J3213,3408432138,4
J3214,3408432145,2
J3215,3408432152,7
J3216,3408432169,2
J3217,3408432176,2
J3218,3408432183,2
J3219,3408432190,2
J3222,3408432222,4
J3223,3408432239,2
J3224,3408432246,6
J3225,3408432253,5
J3227,3408432277,2
J3228,3408432284,2
J3230,3408432309,3
J3232,3408432323,4
J3234,3408432347,3
J3243,3408432431,2
J3245,3408432455,4
J3248,3408432486,3
J3249,3408432493,11
J3252,3408432525,3
J3253,3408432532,2
J3254,3408432549,1
J3256,3408432563,2
J3259,3408432594,4
J3261,3408432619,2
J3262,3408432626,4
J3263,3408432633,2
J3268,3408432688,4
J3269,3408432695,1
J3271,3408432710,4
J3274,3408432741,10
J3275,3408432758,2
J3277,3408432772,2
J3278,3408432789,3
J3279,3408432796,7
J3283,3408432835,2
J3285,3408432859,3
J3286,3408432866,2
J3287,3408432873,6
J3288,3408432880,7
J3291,3408432912,2
J3292,3408432929,2
J3294,3408432943,2
J3295,3408432950,3
J3296,3408432967,4
J3297,3408432974,3
J3298,3408432981,2
J3299,3408432998,6
J3300,3408433009,10
J3301,3408433016,5
J3303,3408433030,2
J3304,3408433047,5
J3305,3408433054,2
J3306,3408433061,1
J3307,3408433078,1
J3310,3408433100,2
J3313,3408433131,1
J3314,3408433148,2
J3316,3408433162,2
J3317,3408433179,6
J3318,3408433186,6
J3319,3408433193,5
J3320,3408433201,2
J3321,3408433218,3
J3322,3408433225,2
J3323,3408433232,2
J3325,3408433256,2
J3327,3408433270,7
J3328,3408433287,2
J3330,3408433302,3
J3331,3408433319,2
J3332,3408433326,2
J3334,3408433340,2
J3335,3408433357,2
J3336,3408433364,2
J3337,3408433371,3
J3338,3408433388,2
J3340,3408433403,5
J3341,3408433410,8
J3343,3408433434,2
J3345,3408433458,2
J3346,3408433465,5
J3347,3408433472,4
J3348,3408433489,2
J3349,3408433496,4
J3352,3408433528,2
J3353,3408433535,1
J3354,3408433542,0
J3355,3408433559,2
J3356,3408433566,5
J3357,3408433573,1
J3359,3408433597,5
J3361,3408433612,2
J3362,3408433629,2
J3363,3408433636,2
J3364,3408433643,1
J3365,3408433650,6
J3366,3408433667,1
J3367,3408433674,5
J3368,3408433681,2
J3369,3408433698,2
J3370,3408433706,4
J3371,3408433713,1
J3373,3408433737,1
J3374,3408433744,4
J3375,3408433751,2
J3376,3408433768,1
J3377,3408433775,1
J3378,3408433782,1
J3379,3408433799,3
J3380,3408433807,1
J3381,3408433814,2
J3382,3408433821,1
J3383,3408433838,5
J3384,3408433845,2
J3385,3408433852,2
J3386,3408433869,1
J3387,3408433876,1
J3388,3408433883,1
J3390,3408433908,1
J3391,3408433915,1
J3393,3408433939,1
J3394,3408433946,1
J3395,3408433953,1
J3396,3408433960,1
J3397,3408433977,2
J3398,3408433984,1
J3399,3408433991,2
J3401,3408434019,2
J3403,3408434033,2
J3405,3408434057,3
J3406,3408434064,1
J3408,3408434088,1
J3409,3408434095,2
J3410,3408434103,1
J3413,3408434134,2
J3414,3408434141,2
J3415,3408434158,1
J3416,3408434165,1
J3417,3408434172,1
J3419,3408434196,1
J3421,3408434211,1
J3423,3408434235,1
J3424,3408434242,3
J3426,3408434266,2
J3428,3408434280,4
J3430,3408434305,1
J3431,3408434312,1
J3433,3408434336,1
J3434,3408434343,1
J3436,3408434367,1
J3438,3408434381,6
J3439,3408434398,1
J3440,3408434406,4
J3442,3408434420,1
J3443,3408434437,1
J3447,3408434475,1
J3450,3408434507,1
J3451,3408434514,1
J3452,3408434521,1
J3453,3408434538,1
J3454,3408434545,1
J3455,3408434552,3
J3456,3408434569,1
J3458,3408434583,6
J3459,3408434590,1
J3460,3408434608,0
J3462,3408434622,1
J3463,3408434639,1
J3464,3408434646,1
J3465,3408434653,3
J3466,3408434660,3
J3467,3408434677,1
J3469,3408434691,1
J3470,3408434709,1
J3471,3408434716,1
J3472,3408434723,1
J3473,3408434730,4
J3474,3408434747,3
J3475,3408434754,1
J3476,3408434761,1
J3477,3408434778,1
J3478,3408434785,3
J3480,3408434800,1
J3481,3408434817,1
J3482,3408434824,1
J3483,3408434831,1
J3484,3408434848,1
J3485,3408434855,2
J3486,3408434862,1
J3488,3408434886,1
J3489,3408434893,1
J3490,3408434901,1
J3491,3408434918,1
J3493,3408434932,1
J3494,3408434949,1
J3495,3408434956,1
J3498,3408434987,1
J3499,3408434994,1
J3500,3408435005,1
J3900,3408439007,1
J3902,3408439021,1
J3903,3408439038,1
J3904,3408439045,1
J3905,3408439052,1
J3906,3408439069,3
J3907,3408439076,3
J3908,3408439083,1
J3909,3408439090,1
J3911,3408439115,1
J3912,3408439122,1
J3913,3408439139,1
J3914,3408439146,1
J3915,3408439153,1
J3916,3408439160,1
J3917,3408439177,1
J3918,3408439184,1
J3920,3408439209,1
J3921,3408439216,1
J3923,3408439230,3
J3924,3408439247,2
J3925,3408439254,1
J3926,3408439261,1
J3927,3408439278,1
J3928,3408439285,1
J3929,3408439292,1
J3930,3408439300,4
J3931,3408439317,1
J3932,3408439324,1
J3933,3408439331,1
J3934,3408439348,0
J3936,3408439362,1
J3937,3408439379,1
J3938,3408439386,1
J3939,3408439393,1
J3940,3408439401,1
J3942,3408439425,1
J3943,3408439432,2
J3944,3408439449,4
J3946,3408439463,2
J3947,3408439470,1
J3948,3408439487,1
J3950,3408439502,1
J3952,3408439526,1
J3953,3408439533,1
J3954,3408439540,4
J3956,3408439564,1
J3958,3408439588,5
J3959,3408439595,1
J3960,3408439603,1
J3961,3408439610,1
J3962,3408439627,1
J3963,3408439634,1
J3964,3408439641,1
J3965,3408439658,1
J3966,3408439665,1
J3967,3408439672,2
J3969,3408439696,1
J3970,3408439704,1
J3971,3408439711,0
J3973,3408439735,1
J3974,3408439742,1
J3975,3408439759,1
J3976,3408439766,1
J3977,3408439773,0
J3978,3408439780,1
J3979,3408439797,0
J3980,3408439805,1
J3981,3408439812,0
J3984,3408439843,1
J3985,3408439850,1
J3986,3408439867,1
J3987,3408439874,3
J3988,3408439881,3
J3990,3408439906,1
J3991,3408439913,1
J3993,3408439937,1
J3994,3408439944,1
J3996,3408439968,0
J3997,3408439975,1
J3998,3408439982,1
J3999,3408439999,1
J4000,3408440009,1
J4001,3408440016,1
J4002,3408440023,3
J4003,3408440030,1
J4004,3408440047,1
J4005,3408440054,2
J4007,3408440078,0
J4008,3408440085,1
J4009,3408440092,0
J4010,3408440100,1
J4011,3408440117,1
J4012,3408440124,0
J4013,3408440131,1
J4014,3408440148,1
J4015,3408440155,2
J4016,3408440162,0
J4017,3408440179,1
J4018,3408440186,1
J4019,3408440193,1
J4020,3408440201,3
J4021,3408440218,1
J4022,3408440225,1
J4023,3408440232,1
J4024,3408440249,0
J4025,3408440256,2
J4026,3408440263,0
J4027,3408440270,2
J4028,3408440287,1
J4029,3408440294,1
J4030,3408440302,1
J4031,3408440319,1
J4032,3408440326,1
J4033,3408440333,0
J4034,3408440340,0
J4035,3408440357,1
J4036,3408440364,1
J4037,3408440371,1
J4038,3408440388,1
J4039,3408440395,2
J4040,3408440403,1
J4041,3408440410,0
J4042,3408440427,2
J4043,3408440434,2
J4044,3408440441,2
J4045,3408440458,2
J4046,3408440465,1
J4047,3408440472,1
J4048,3408440489,1
J4049,3408440496,2
J4050,3408440504,0
J4053,3408440535,0
J4057,3408440573,2
J4058,3408440580,2
J4059,3408440597,1
J4060,3408440605,0
J4061,3408440612,1
J4062,3408440629,3
J4063,3408440636,2
J4064,3408440643,1
J4065,3408440650,2
J4066,3408440667,3
J4067,3408440674,1
J4068,3408440681,2
J4069,3408440698,0
J4070,3408440706,2
J4071,3408440713,1
J4072,3408440720,1
J4073,3408440737,1
J4074,3408440744,1
J4075,3408440751,1
J4076,3408440768,0
J4080,3408440807,0
J4081,3408440814,0
J4082,3408440821,1
J4083,3408440838,0
J4084,3408440845,0
J4085,3408440852,1
J4086,3408440869,0
J4087,3408440876,1
J4088,3408440883,0
J4089,3408440890,1
J4090,3408440908,2
J4091,3408440915,1
J4092,3408440922,1
J4093,3408440939,1
J4094,3408440946,1
J4095,3408440953,1
J4096,3408440960,1
J4097,3408440977,1
J4098,3408440984,2
J4099,3408440991,1
J4100,3408441002,1
J4102,3408441026,1
J4103,3408441033,1
J4104,3408441040,1
J4105,3408441057,1
J4106,3408441064,1
J4107,3408441071,1
J4108,3408441088,1
J4109,3408441095,1
J4110,3408441103,1
J4111,3408441110,1
J4112,3408441127,1
J4113,3408441134,1
J4114,3408441141,1
J4115,3408441158,2
J4116,3408441165,1
J4117,3408441172,1
J4118,3408441189,2
J4119,3408441196,1
J4120,3408441204,2
J4121,3408441211,1
J4122,3408441228,1
J4123,3408441235,1
J4124,3408441242,2
J4125,3408441259,1
J4126,3408441266,1
J4127,3408441273,1
J4128,3408441280,1
J4129,3408441297,1
J4130,3408441305,1
J4131,3408441312,1
J4132,3408441329,1
J4133,3408441336,0
J4134,3408441343,1
J4135,3408441350,1
J4136,3408441367,1
J4137,3408441374,1
J4138,3408441381,1
J4139,3408441398,1
J4140,3408441406,1
J4141,3408441413,1
J4142,3408441420,1
J4143,3408441437,1
J4144,3408441444,1
J4145,3408441451,2
J4146,3408441468,2
J4147,3408441475,2
J4148,3408441482,2
J4149,3408441499,2
J4150,3408441507,1
J4151,3408441514,1
J4152,3408441521,1
J4153,3408441538,1
J4154,3408441545,1
J4155,3408441552,1
J4156,3408441569,1
J4157,3408441576,1
J4158,3408441583,1
J4159,3408441590,1
J4160,3408441608,1
J4163,3408441639,1
J4164,3408441646,1
J4165,3408441653,1
J4166,3408441660,1
J4167,3408441677,1
J4168,3408441684,1
J4169,3408441691,1
J4170,3408441709,1
J4171,3408441716,1
J4172,3408441723,1
J4174,3408441747,1
J4175,3408441754,1
J4176,3408441761,1
J4177,3408441778,1
J4178,3408441785,1
J4179,3408441792,1
J4180,3408441800,1
J4181,3408441817,1
J4182,3408441824,1
J4183,3408441831,1
J4184,3408441848,1
J4185,3408441855,1
J4186,3408441862,1
J4187,3408441879,1
J4188,3408441886,1
J4189,3408441893,1
J4190,3408441901,1
J4191,3408441918,1
J4192,3408441925,1
J4193,3408441932,1
J4194,3408441949,1
J4195,3408441956,1
J4196,3408441963,1
J4198,3408441987,1
J4200,3408442005,1
J4201,3408442012,1
J4202,3408442029,1
J4204,3408442043,1
J4205,3408442050,1
J4206,3408442067,1
J4207,3408442074,1
J4208,3408442081,1
J4209,3408442098,1
J4210,3408442106,1
J4211,3408442113,1
J4213,3408442137,1
J4215,3408442151,1
J4216,3408442168,1
J4217,3408442175,1
J4218,3408442182,1
J4219,3408442199,1
J4220,3408442207,1
J4221,3408442214,1
J4222,3408442221,1
J4223,3408442238,1
J4224,3408442245,1
J4225,3408442252,1
J4226,3408442269,1
J4228,3408442283,1
J4229,3408442290,1
J4231,3408442315,1
J4232,3408442322,0
J4233,3408442339,1
J4234,3408442346,1
J4235,3408442353,1
J4236,3408442360,1
J4237,3408442377,1
J4238,3408442384,1
J4239,3408442391,1
J4240,3408442409,1
J4242,3408442423,1
J4243,3408442430,1
J4244,3408442447,1
J4245,3408442454,0
J4246,3408442461,0
J4247,3408442478,0
J4248,3408442485,0
J4249,3408442492,0
J4250,3408442500,0
J4251,3408442517,0
J4252,3408442524,0
J4253,3408442531,0
J4254,3408442548,0
J4255,3408442555,0
J4256,3408442562,0
J4257,3408442579,0
J4258,3408442586,0
J4259,3408442593,0
J4261,3408442618,0
J4263,3408442632,0
J4264,3408442649,0
J4265,3408442656,0
J4266,3408442663,0
J4267,3408442670,0
J4268,3408442687,0
J4269,3408442694,0
J4270,3408442702,0
J4271,3408442719,0
J4272,3408442726,0
J4273,3408442733,0
J4274,3408442740,0
J4275,3408442757,0
J4276,3408442764,0
J4278,3408442788,0
J4279,3408442795,0
J4280,3408442803,0
J4281,3408442810,0
J4282,3408442827,0
J4283,3408442834,0
J4284,3408442841,0
J4285,3408442858,0
J4286,3408442865,0
J4287,3408442872,0
J4288,3408442889,0
J4289,3408442896,0
J4290,3408442904,0
J4291,3408442911,0
J4292,3408442928,0
J4294,3408442942,0
J4295,3408442959,0
J4296,3408442966,0
J4297,3408442973,0
J4298,3408442980,0
J4299,3408442997,0
J4300,3408443008,0
J4301,3408443015,0
J4302,3408443022,0
J4303,3408443039,0
J4304,3408443046,0
J4305,3408443053,0
J4306,3408443060,0
J4307,3408443077,0
J4309,3408443091,0
J4310,3408443109,0
J4311,3408443116,0
J4312,3408443123,0
J4313,3408443130,0
J4315,3408443154,0
J4316,3408443161,0
J4317,3408443178,0
J4318,3408443185,0
J4319,3408443192,0
J4320,3408443200,0
J4321,3408443217,0
J4322,3408443224,0
J4323,3408443231,0
J4324,3408443248,0
J4326,3408443262,0
J4327,3408443279,0
J4328,3408443286,0
J4329,3408443293,0
J4330,3408443301,0
J4331,3408443318,0
J4332,3408443325,0
J4333,3408443332,0
J4334,3408443349,0
J4335,3408443356,0
J4336,3408443363,0
J4337,3408443370,0
J4338,3408443387,0
J4339,3408443394,0
J4340,3408443402,0
J4341,3408443419,0
J4342,3408443426,0
J4343,3408443433,0
J4344,3408443440,0
J4346,3408443464,0
J4348,3408443488,0
J4349,3408443495,0
J4350,3408443503,0
J4351,3408443510,0
J4352,3408443527,0
J4353,3408443534,0
J4354,3408443541,0
J4355,3408443558,0
J4357,3408443572,0
J4358,3408443589,0
J4359,3408443596,0
J4360,3408443604,0
J4361,3408443611,0
J4363,3408443635,0
J4364,3408443642,0
J4365,3408443659,0
J4366,3408443666,0
J4367,3408443673,0
J4368,3408443680,0
J4369,3408443697,0
J4370,3408443705,0
J4371,3408443712,0
J4372,3408443729,0
J4373,3408443736,0
J4374,3408443743,0
J4376,3408443767,0
J4377,3408443774,0
J4378,3408443781,0
J4380,3408443806,0
J4381,3408443813,0
J4382,3408443820,0
J4383,3408443837,0
J4384,3408443844,0
J4385,3408443851,0
J4386,3408443868,0
J4387,3408443875,0
J4388,3408443882,0
J4389,3408443899,0
J4390,3408443907,0
J4391,3408443914,0
J4392,3408443921,0
J4394,3408443945,0
J4395,3408443952,0
J4396,3408443969,0
J4397,3408443976,0
J4398,3408443983,0
J4399,3408443990,0
J4400,3408444001,0
J4401,3408444018,0
J4402,3408444025,0
J4403,3408444032,0
J4404,3408444049,0
J4405,3408444056,0
J4407,3408444070,0
J4408,3408444087,0
J4410,3408444102,0
J4411,3408444119,0
J4412,3408444126,0
J4413,3408444133,0
J4414,3408444140,0
J4415,3408444157,0
J4416,3408444164,0
J4417,3408444171,0
J4420,3408444203,0
J4421,3408444210,0
J4422,3408444227,0
J4423,3408444234,0
J4424,3408444241,0
J4425,3408444258,0
J4426,3408444265,0
J4427,3408444272,0
J4428,3408444289,0
J4430,3408444304,0
J4431,3408444311,0
J4432,3408444328,0
J4433,3408444335,0
J4434,3408444342,0
J4435,3408444359,0
J4436,3408444366,0
J4437,3408444373,0
J4438,3408444380,0
J4439,3408444397,0
J4440,3408444405,0
J4441,3408444412,0
J4442,3408444429,0
J4443,3408444436,0
J4446,3408444467,0
J4447,3408444474,0
J4448,3408444481,0
J4449,3408444498,0
J4450,3408444506,0
J4451,3408444513,0
J4452,3408444520,0
J4454,3408444544,0
J4455,3408444551,0
J4456,3408444568,0
J4457,3408444575,0
J4459,3408444599,0
J4460,3408444607,0
J4461,3408444614,0
J4464,3408444645,0
J4465,3408444652,0
J4466,3408444669,0
J4468,3408444683,0
J4469,3408444690,0
J4471,3408444715,0
J4472,3408444722,0
J4473,3408444739,0
J4474,3408444746,0
J4475,3408444753,0
J4476,3408444760,0
J4477,3408444777,0
J4479,3408444791,0
J4480,3408444809,0
J4481,3408444816,0
J4482,3408444823,0
J4483,3408444830,0
J4485,3408444854,0
J4486,3408444861,0
J4487,3408444878,0
J4488,3408444885,0
J4489,3408444892,0
J4490,3408444900,0
J4492,3408444924,0
J4493,3408444931,0
J4494,3408444948,0
J4495,3408444955,0
J4496,3408444962,0
J4497,3408444979,0
J4498,3408444986,0
J4499,3408444993,0
J4501,3408445011,0
J4503,3408445035,0
J4505,3408445059,0
J4507,3408445073,0
J4508,3408445080,0
J4509,3408445097,0
J4510,3408445105,0
J4511,3408445112,0
J4512,3408445129,0
J4514,3408445143,0
J4515,3408445150,0
J4517,3408445174,0
J4518,3408445181,0
J4519,3408445198,0
J4520,3408445206,0
J4521,3408445213,0
J4522,3408445220,0
J4524,3408445244,0
J4526,3408445268,0
J4527,3408445275,0
J4528,3408445282,0
J4530,3408445307,0
J4532,3408445321,0
J4533,3408445338,0
J4534,3408445345,0
J4536,3408445369,0
J4537,3408445376,0
J4538,3408445383,0
J4539,3408445390,0
J4540,3408445408,0
J4543,3408445439,0
J4544,3408445446,0
J4545,3408445453,0
J4546,3408445460,0
J4548,3408445484,0
J4551,3408445516,0
J4552,3408445523,0
